IDX_SIM,INPUT1,INPUT1_ENG,INPUT2,INPUT2_ENG
519,림프절절제,lymphadenectomy,림프절전이,lymph node metastasis
520,지방제거,fat removal,자가지방이식,autologous fat graft
521,미세혈관병증,microangiopathy,칼리크레인,kallikrein
522,포경수술,circumcision,질성형,vaginoplasty
523,문합,anastomosis,인대파열,ligament rupture
524,항염증제,anti-inflammatory,전정신경염,vestibular neuritis
525,근이완제,muscle relaxants,사경,torticollis
526,건선,psoriasis,생물학적제제,biological preparation
527,목통증,neck pain,전염단핵구증,infectious mononucleosis
528,배란유도,ovulation induction,경구피임제,oral contraceptives
529,파동편모충,trypanosoma,구충제,parasiticide
530,정맥주사,intravenous injection,옥시토신,oxytocin
531,내시경술,endoscopy,상피내암종,carcinoma in situ
532,양수과소증,oligohydramnios,전치태반,placenta previa
533,실인증,agnosia,자동증,automatism
534,접촉피부염,contact dermatitis,백선,tinea
535,성대결절,vocal nodules,통풍결절,tophus
536,낭성섬유증,cystic fibrosis,폐섬유증,pulmonary fibrosis
537,식도정맥류,esophageal varices,동정맥루,arteriovenous fistula
538,과다색소침착,hyperpigmentation,가시세포증,acanthosis
539,십이지장절제,duodenal resection,십이지장궤양,duodenal ulcer
540,냉동요법,cryotherapy,동상,frostbite
541,자궁근종절제,myomectomy,자궁내막증,endometriosis
542,고프로락틴혈증,hyperprolactinemia,질소혈증,azotemia
543,혈종,hematoma,황색종,xanthoma
544,저마그네슘혈증,hypomagnesemia,저알부민혈증,hypoalbuminemia
545,수질암,medullary carcinoma,질암,vaginal cancer
546,소두증,microcephaly,수두증,hydrocephalus
547,매독,syphilis,구루병,rickets
548,애디슨병,Addison’s disease,유육종,sarcoid
549,좌약,suppository,치루,anal fistula
550,근긴장,muscle tone,근육통,myalgia
551,남성갱년기,andropause,미주신경자극,vagus nerve stimulation
552,위세척,gastric lavage,말초동맥질환,peripheral artery disease
553,이식편대숙주병,graft versus host disease,멜라닌세포모반,melanocytic nevus
554,자간전증,preeclampsia,소파술,curettage
555,다래끼,hordeolum,음악요법,music therapy
556,리보플라빈,riboflavin,만니톨,mannitol
557,천공,perforation,괴혈병,scurvy
558,부검,autopsy,뇌사,brain death
559,결합조직병,connective tissue disease,무과립구증,agranulocytosis
560,요오드,iodine,아데노신,adenosine
561,여성형유방,gynecomastia,성조숙,precocious puberty
562,굳은살,calluse,켈로이드,keloid
563,홍역,measles,라임병,lyme disease
564,알도스테론증,aldosteronism,탈진,exhaustion
565,페스트,plague,폐흡충증,paragonimiasis
566,괴저,gangrene,항인지질항체증후군,antiphospholipid antibody syndrome
567,양막파열,amniotic membrane rupture,양수과다,polyhydramnios
568,파상풍,tetanus,신경매독,neurosyphilis
569,가성동맥류,pseudoaneurysm,대동맥류,aortic aneurysm
570,영아연축,infantile spasm,영아돌연사,sudden infant death
571,무기폐,atelectasis,자폐증,autism
572,고암모니아혈증,hyperammonemia,산혈증,acidemia
573,발관절염,foot arthritis,아킬레스건염,Achilles tendinitis
574,외반슬,genu valgum,보행장애,gait disorder
575,수근관증후군,carpal tunnel syndrome,구획증후군,compartment syndrome
576,사혈,venesection,교환수혈,exchange transfusion
577,하지불안증후군,restless legs syndrome,하지통,lower limb pain
578,칼시트리올,calcitriol,루테인,lutein
579,내림프수종,endolymphatic hydrops,태아수종,hydrops fetalis
580,전신경화증,systemic sclerosis,신경화증,nephrosclerosis
581,윌슨병,Wilson's disease,부갑상샘항진증,hyperparathyroidism
582,점막염,mucositis,융모양막염,chorioamnionitis
583,배변장애,defecation disorder,발성장애,dysphonia
584,탄저,anthrax,티눈,corn
585,탈장,hernia,응급수술,emergency surgery
586,모야모야병,moyamoya disease,말단비대증,acromegaly
587,신경뿌리병증,radiculopathy,삼차신경통,trigeminal neuralgia
588,기관지폐포세척,bronchoalveolar lavage,세침흡인,fine neddle aspiration
589,충돌증후군,impingement syndrome,견열골절,avulsion fracture
590,성장통,growing pain,성장장애,growth disorder
591,연조직염,cellulitis,농가진,impetigo
592,에이즈,AIDS,바셀린,vaseline
593,피부근염,dermatomyositis,구내염,stomatitis
594,비늘증,ichthyosis,두창,smallpox
595,혼합백신,combination vaccines,지혈제,hemostatic
596,복수,ascites,창냄술,fenestration
597,납중독,lead poisoning,포르피린증,porphyria
598,파브리병,Fabry's disease,다발골수종,multiple myeloma
599,멀미,motion sickness,시야결손,visual field defect
600,조직구증,histiocytosis,단핵구증,mononucleosis
601,액취증,osmidrosis axillae,피부이식,skin graft
602,공기색전증,air embolism,말더듬,stuttering
603,기미,chloasma,습진,eczema
604,척수공동증,syringomyelia,아밀로이드증,amyloidosis
605,동정맥기형,arteriovenous malformation,대동맥박리,aortic dissection
606,종괴,mass,난소절제,ovariectomy
607,코골이,snoring,관절조영,arthrography
